"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"malabe",8,"perches","5",3,3600,2,"2","Available now",35,"Colombo"
"colombo 8",13,"perches","5",5,7000,NA,"3","Available now",215,"Colombo"
"colombo 5",26,"perches","4",4,3000,NA,"2","Available now",286,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,NA,"3","Available now",165,"Colombo"
"colombo 8",57,"perches","3",3,2500,NA,"None","Available now",338,"Colombo"
"colombo 7",19,"perches","3",3,4400,NA,"2","Available now",290,"Colombo"
"kandy",17,"perches","4",3,2000,2,"2","Available now",45,"Kandy"
"battaramulla",12.5,"perches","3",1,1400,1,"2","Available now",31,"Colombo"
"maharagama",10,"perches","4",2,4000,2,"2","Available now",NA,"Colombo"
"negombo",16,"perches","4",3,NA,2,"1","Available now",37,"Gampaha"
"boralesgamuwa",10,"perches","4",3,NA,2,"3","Available now",42,"Colombo"
"pita kotte",9.41,"perches","3",4,3600,2,"2","Available now",37,"Colombo"
"talpe",27,"perches","4",1,NA,NA,"None","Available now",11.94,"Galle"
"ahangama",18,"perches","3",1,NA,NA,"None","Available now",9,"Galle"
"koswatta",19,"perches","above 5",3,4000,2,"6","Price Reduced!",32.5,"Colombo"
"katunayake",39,"perches","4",NA,NA,NA,"None","Available now",18.7,"Gampaha"
"athurugiriya",7,"perches","5",3,2800,3,"2","Available now",28.5,"Colombo"
"malabe",NA,NA,"above 5",NA,NA,NA,"None","Available now",65,"Colombo"
"rajagiriya",8.75,"perches","5",3,2900,2,"None","Available now",38,"Colombo"
"pita kotte",11.7,"perches","5",3,3200,2,"2","Available now",63,"Colombo"
"colombo 8",15,"perches","above 5",5,3500,2,"4","Available now",NA,"Colombo"
"nugegoda",NA,NA,"2",2,1000,2,"1","Available now",19.5,"Colombo"
"battaramulla",7,"perches","4",3,2400,2,"None","Available now",30.5,"Colombo"
"kandy",24.7,"perches","4",2,2800,2,"1","Available now",26,"Kandy"
"kandy",20,"perches","4",4,2800,2,"3","Available now",23.5,"Kandy"
