"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"kottawa",10,"perches","5",3,2200,NA,"3","Available now",22,"Colombo"
"rajagiriya",7,"perches","3",4,2500,3,"2","Available now",49,"Colombo"
"pannipitiya",17.5,"perches","5",7,2800,NA,"None","Available now",67.5,"Colombo"
"thalawathugoda",51,"perches","4",3,3000,2,"6","Available now",110,"Colombo"
"angoda",6.5,"perches","4",3,2200,NA,"2","Available now",20,"Colombo"
"nugegoda",14,"perches","3",3,2800,NA,"None","Available now",47,"Colombo"
"rajagiriya",NA,NA,"5",2,2400,NA,"4","Available now",22,"Colombo"
"athurugiriya",12.85,"perches","4",2,2800,NA,"3","Available now",38,"Colombo"
"boralesgamuwa",10,"perches","4",4,4100,NA,"None","Available now",28,"Colombo"
"mount lavinia",5.4,"perches","above 5",8,1700,NA,"None","Available now",73,"Colombo"
"kohuwala",10,"perches","above 5",4,3500,NA,"None","Available now",60,"Colombo"
"colombo 15",2,"perches","4",3,450,NA,"1","Available now",11,"Colombo"
"homagama",10,"perches","3",2,1400,NA,"None","Available now",11,"Colombo"
"kottawa",22.5,"perches","3",1,1750,NA,"2","Available now",48,"Colombo"
"kottawa",16,"perches","above 5",4,2340,NA,"None","Available now",30,"Colombo"
"malabe",11.5,"perches","above 5",3,NA,2,"3","Available now",30,"Colombo"
"colombo 3",NA,NA,"above 5",5,2500,NA,"3","Available now",20,"Colombo"
"malabe",8,"perches","3",1,2000,1,"2","Available now",16.5,"Colombo"
"dehiwala",31.5,"perches","above 5",7,15000,2,"4","Available now",225,"Colombo"
"malabe",6.5,"perches","4",3,2500,1,"2","Available now",28,"Colombo"
"kohuwala",16.58,"perches","above 5",6,4500,1,"2","Available now",85,"Colombo"
"kelaniya",27.5,"perches","5",3,3700,2,"3","Available now",33,"Gampaha"
"malabe",55,"perches","4",3,4000,2,"2","Available now",29,"Colombo"
"pelawatte",9,"perches","4",4,3450,2,"2","Available now",45,"Colombo"
"battaramulla",25,"perches","1",NA,NA,NA,"None","Available now",63,"Colombo"
"colombo 5",10,"perches","4",4,2500,2,"2","Available now",125,"Colombo"
"wattala",15.6,"perches","3",2,3000,NA,"None","Available now",35,"Gampaha"
"wattala",7.5,"perches","3",NA,1700,NA,"None","Available now",13,"Gampaha"
"nugagoda",14,"perches","3",3,NA,NA,"None","Available now",47,"Kalutara"
"colombo 15",2,"perches","2",1,NA,NA,"1","Available now",5,"Colombo"
"mawanella",120,"perches","4",1,NA,NA,"None","For Urgent Sale",8.5,"Kegalle"
"arangala",10,"perches","4",3,2600,3,"1","Available now",33,"Colombo"
"moratuwa",10.5,"perches","3",2,2000,1,"2","Available now",23.5,"Colombo"
"colombo 3",50,"perches","above 5",NA,NA,NA,"None","Available now",1,"Colombo"
"pelawatte",24,"perches","4",4,4750,3,"3","Available now",114,"Colombo"
"malabe",7.8,"perches","3",3,1500,2,"1","Available now",24,"Colombo"
"kandy",25.2,"perches","3",3,3000,NA,"1","Available now",26,"Kandy"
"matale",42.5,"perches","above 5",4,13500,3,"None","Available now",75,"Matale"
"dehiwala",20,"perches","above 5",4,4000,2,"2","Available now",80,"Colombo"
"colombo 5",14.75,"perches","5",3,3500,2,"None","Price Reduced!",165,"Colombo"
"katubedda",9,"perches","5",3,2300,2,"1","Available now",25,"Colombo"
"thalawathugoda",35,"perches","above 5",5,5000,3,"2","Available now",NA,"Colombo"
"mount lavinia",12,"perches","4",4,2000,2,"2","Available now",NA,"Colombo"
"nawala",25,"perches","5",4,3000,2,"3","Available now",117.5,"Colombo"
"kadawatha",10.1,"perches","5",2,3600,NA,"None","Available now",30,"Gampaha"
"pitipana",24,"perches","5",3,NA,NA,"2","Available now",NA,"Colombo"
"nugegoda",11,"perches","4",2,2500,NA,"2","Available now",59,"Colombo"
"kottawa",14.5,"perches","4",3,4500,2,"3","Available now",36,"Colombo"
"athurugiriya",10.5,"perches","4",2,3000,2,"2","Available now",25,"Colombo"
"athurugiriya",7,"perches","3",2,1700,2,"1","Available now",17.5,"Colombo"
"malabe",10.12,"perches","4",3,2675,2,"2","Available now",49.5,"Colombo"
"gampaha",25,"perches","4",2,3000,2,"4","Available now",NA,"Gampaha"
"boralesgamuwa",12,"perches","3",1,1385,NA,"None","Available now",15,"Colombo"
"nawinna",8.9,"perches","2",2,1820,NA,"None","Available now",19,"Colombo"
"moratuwa",26,"perches","above 5",7,6000,NA,"None","Available now",65,"Colombo"
"colombo 3",NA,NA,"4",3,1550,NA,"None","Available now",40,"Colombo"
"mount lavinia",3.5,"perches","3",1,1000,NA,"None","Available now",NA,"Colombo"
"boralesgamuwa",9.45,"perches","3",NA,NA,NA,"None","Available now",30,"Colombo"
"colombo 9",8,"perches","5",3,1600,NA,"3","Available now",24,"Colombo"
"pelawatte",12,"perches","4",3,3000,2,"2","Sold",68,"Colombo"
"colombo 5",8,"perches","4",NA,NA,2,"1","Available now",70,"Colombo"
"wattala",14,"perches","4",2,NA,NA,"2","Available now",27.5,"Gampaha"
"wattala",8,"perches","5",3,2178,NA,"2","Available now",29,"Gampaha"
"enderamulla",22,"perches","5",3,NA,NA,"2","Available now",35,"Colombo"
"wattala",8,"perches","4",3,3500,NA,"3","Available now",34.5,"Gampaha"
"wattala",NA,NA,"4",3,NA,NA,"1","Available now",18.5,"Gampaha"
"wattala",12.5,"perches","above 5",4,NA,NA,"2","Available now",45,"Gampaha"
"wattala",10.9,"perches","3",2,NA,NA,"3","Available now",17.5,"Gampaha"
"wattala",20,"perches","above 5",5,NA,NA,"None","Available now",37.5,"Gampaha"
"mahabage",11,"perches","2",1,NA,NA,"None","Available now",10,"Gampaha"
"wattala",5,"perches","2",2,NA,NA,"1","Available now",11,"Gampaha"
"wattala",NA,NA,"3",NA,NA,NA,"None","Available now",30,"Gampaha"
"wattala",10,"perches","3",2,NA,NA,"None","Available now",27.5,"Gampaha"
"wattala",NA,NA,"4",2,NA,NA,"None","Available now",29,"Gampaha"
"wattala",9,"perches","2",2,NA,NA,"None","Available now",10,"Gampaha"
"thalawathugoda",50.17,"perches","4",NA,3000,2,"6","Available now",105,"Colombo"
"colombo 5",8,"perches","5",NA,2750,NA,"1","Available now",70,"Colombo"
"nawala",NA,NA,"4",3,3500,2,"2","Available now",69,"Colombo"
"nawala",NA,NA,"4",3,4500,3,"2","Available now",80,"Colombo"
"colombo 5",14,"perches","2",2,2200,NA,"3","Available now",140,"Colombo"
"rajagiriya",21,"perches","4",3,3000,NA,"2","Available now",175,"Colombo"
"mirihana",NA,NA,"5",6,5000,NA,"2","Available now",70,"Colombo"
"rajagiriya",9.6,"perches","1",1,1200,NA,"None","Available now",20,"Colombo"
"hokandara",11.75,"perches","4",3,3800,NA,"2","Available now",37.5,"Colombo"
"battaramulla",10,"perches","5",3,4000,3,"3","Available now",65,"Colombo"
"ethul kotte",12.5,"perches","above 5",6,6093,NA,"6","Available now",69,"Colombo"
"piliyandala",8,"perches","4",4,2600,2,"3","Available now",25,"Colombo"
"piliyandala",8,"perches","4",4,NA,NA,"None","Available now",32,"Colombo"
"colombo 4",12,"perches","4",NA,3500,NA,"2","Available now",282,"Colombo"
"colombo 5",24,"perches","1",NA,5500,NA,"None","Available now",168,"Colombo"
"colombo 5",15.57,"perches","5",NA,4500,2,"2","Available now",80,"Colombo"
"kandy",10.3,"perches","3",3,2200,2,"2","Available now",25,"Kandy"
"colombo 8",18.5,"perches","above 5",4,NA,NA,"None","Available now",145,"Colombo"
"thalahena",8,"perches","above 5",6,4000,NA,"1","Available now",22.5,"Colombo"
"pelawatte",20,"perches","above 5",6,3000,NA,"4","Available now",90,"Colombo"
"thalahena",22,"perches","3",2,2500,NA,"3","Available now",48,"Colombo"
"pelawatte",9,"perches","above 5",5,4300,3,"3","Sold",36,"Colombo"
"colombo 5",9.6,"perches","5",3,3500,NA,"4","Available now",98,"Colombo"
"pelawatte",20,"perches","5",4,5200,2,"2","Available now",145,"Colombo"
"galle",35,"perches","5",4,3500,NA,"6","Available now",75,"Galle"
"ja ela",8,"perches","4",3,2375,2,"3","Available now",19.8,"Gampaha"
"colombo 6",9.77,"perches","4",3,3000,2,"1","Available now",122.13,"Colombo"
"kohuwala",7.5,"perches","4",3,2041,1,"1","Available now",30,"Colombo"
"malabe",10.75,"perches","4",3,3500,2,"4","Available now",28,"Colombo"
"colombo 9",35,"perches","above 5",2,NA,2,"6","Available now",29,"Colombo"
"kandy",NA,NA,"5",5,NA,2,"2","Available now",40,"Kandy"
"kandy",13,"perches","above 5",NA,NA,2,"4","Available now",15.5,"Kandy"
"nugegoda",11.7,"perches","3",2,2000,NA,"None","Available now",45,"Colombo"
"nawala",20,"perches","4",4,5000,2,"4","Available now",150,"Colombo"
"dehiwala",6.8,"perches","above 5",3,2572,3,"1","Available now",45,"Colombo"
"mount lavinia",14.25,"perches","3",2,3200,NA,"2","Available now",46,"Colombo"
"piliyandala",6.8,"perches","3",2,1500,NA,"2","Available now",19.5,"Colombo"
"colombo 4",17.7,"perches","3",2,3000,NA,"1","Available now",283.2,"Colombo"
"pita kotte",18,"perches","above 5",6,8500,NA,"3","Available now",240,"Colombo"
"pita kotte",18,"perches","above 5",6,8500,NA,"3","Available now",600,"Colombo"
"pannipitiya",17.5,"perches","5",7,2800,NA,"None","Available now",66,"Colombo"
"malabe",10.5,"perches","3",2,1400,NA,"1","Available now",16,"Colombo"
"maharagama",10,"perches","3",2,NA,NA,"3","Available now",37,"Colombo"
"mirissa",25,"perches","5",3,NA,NA,"2","Available now",30,"Matara"
"dehiwala",9.7,"perches","3",2,1000,NA,"3","Available now",42.5,"Colombo"
"dehiwala",12.5,"perches","above 5",8,NA,NA,"5","Available now",75,"Colombo"
"gampaha",15,"perches","4",3,2775,NA,"2","Available now",27.5,"Gampaha"
"ja ela",10,"perches","5",2,2500,NA,"2","Available now",18,"Gampaha"
"thalawathugoda",27.5,"perches","above 5",6,5000,NA,"2","Available now",55,"Colombo"
"ja ela",10.5,"perches","4",2,2577,NA,"2","Available now",28,"Gampaha"
"colombo 6",9.7,"perches","4",3,3500,NA,"2","Available now",92.15,"Colombo"
"nugegoda",8,"perches","3",3,2250,3,"1","For Urgent Sale",35,"Colombo"
"pita kotte",7.2,"perches","3",3,1750,2,"2","For Urgent Sale",24,"Colombo"
"nugegoda",12.5,"perches","4",3,4000,2,"3","For Urgent Sale",58,"Colombo"
"battaramulla",26,"perches","5",5,10173,3,"6","For Urgent Sale",130,"Colombo"
"colombo 5",7.6,"perches","5",3,3000,3,"2","Available now",38,"Colombo"
"mount lavinia",36,"perches","4",4,3000,2,"6","Available now",110,"Colombo"
"moratuwa",26,"perches","4",3,3800,3,"5","Available now",36,"Colombo"
"battaramulla",43,"perches","5",5,8500,3,"6","Available now",160,"Colombo"
"piliyandala",12,"perches","above 5",4,4500,3,"2","For Urgent Sale",50,"Colombo"
"maharagama",9,"perches","4",3,3500,2,"2","Available now",53,"Colombo"
"malabe",11.72,"perches","4",3,2800,2,"2","Under Offer",27.5,"Colombo"
"colombo 8",10,"perches","above 5",4,NA,2,"2","Available now",140,"Colombo"
"pepiliyana",8,"perches","3",2,NA,NA,"2","Available now",55,"Colombo"
"colombo 8",14.93,"perches","4",4,4000,2,"2","Available now",150,"Colombo"
"colombo 5",10,"perches","above 5",5,4000,3,"3","Available now",130,"Colombo"
"nugegoda",13.2,"perches","above 5",5,4800,3,"3","Available now",42.5,"Colombo"
"kotikawatta",6,"perches","2",1,1500,1,"2","Available now",6.2,"Colombo"
"nugegoda",8,"perches","3",2,2300,2,"2","Available now",40,"Colombo"
"thalawathugoda",13,"perches","above 5",5,4000,2,"4","Available now",29.8,"Colombo"
"pepiliyana",27,"perches","above 5",5,7100,NA,"None","Available now",170,"Colombo"
"udahamulla",9,"perches","above 5",4,2300,NA,"None","Available now",42,"Colombo"
"dehiwala",9.4,"perches","3",2,2500,NA,"None","Available now",65,"Colombo"
"karagampitiya",30,"perches","4",3,3500,NA,"None","Available now",125,"Colombo"
"kottawa",18.5,"perches","3",2,1800,NA,"None","Available now",31.5,"Colombo"
"alawathugoda",150,"perches","above 5",2,2500,NA,"None","Available now",40,"Kandy"
"colombo 8",20,"perches","5",4,3800,NA,"None","Available now",180,"Colombo"
"athurugiriya",6,"perches","2",1,1400,NA,"None","Available now",15,"Colombo"
"pannipitiya",16.01,"perches","2",2,2700,NA,"None","Available now",25,"Colombo"
"kohuwala",6.28,"perches","above 5",3,2000,NA,"None","Available now",37,"Colombo"
"colombo 3",16.65,"perches","4",NA,NA,NA,"2","Available now",NA,"Colombo"
"malabe",6,"perches","4",4,1800,3,"1","Available now",27,"Colombo"
"colombo 5",10,"perches","5",NA,NA,2,"2","Available now",120,"Colombo"
"colombo 5",9.8,"perches","4",5,NA,NA,"2","Available now",120,"Colombo"
"gampaha",10.34,"perches","5",2,5400,2,"6","Available now",29,"Gampaha"
"kadawatha",10,"perches","5",2,4100,2,"2","Available now",20,"Gampaha"
"homagama",13.5,"perches","4",3,4000,2,"2","Available now",30.5,"Colombo"
"boralesgamuwa",7.5,"perches","3",2,2800,2,"2","Available now",33,"Colombo"
"boralesgamuwa",7.06,"perches","4",3,2400,2,"2","Available now",38,"Colombo"
"boralesgamuwa",3,"perches","5",4,3854,2,"3","Available now",48,"Colombo"
"boralesgamuwa",NA,NA,"4",4,3200,3,"2","Available now",32.5,"Colombo"
"galle",12,"perches","3",2,1200,1,"2","Available now",11,"Galle"
"ratnapura",10,"perches","3",2,1600,1,"2","Available now",18.5,"Ratnapura"
"thalawathugoda",22,"perches","5",4,4500,3,"3","Available now",115,"Colombo"
"battaramulla",22,"perches","5",4,4500,3,"3","Available now",115,"Colombo"
"battaramulla",6,"perches","5",5,2500,3,"3","Available now",22.5,"Colombo"
"battaramulla",23,"perches","above 5",6,7000,4,"5","Available now",97.5,"Colombo"
"kohuwala",6.28,"perches","above 5",3,NA,2,"2","Available now",29.5,"Colombo"
"colombo 5",10,"perches","3",NA,3500,NA,"2","Available now",120,"Colombo"
"wattala",23.6,"perches","2",2,NA,NA,"None","Available now",31.2,"Gampaha"
"gampaha",10,"perches","3",1,1100,NA,"None","Available now",6.75,"Gampaha"
"colombo 8",23.4,"perches","4",4,NA,NA,"None","Available now",195,"Colombo"
"kaduwela",20,"perches","4",3,3000,2,"None","Available now",26.5,"Colombo"
"thalawathugoda",50.17,"perches","4",3,3000,NA,"6","Available now",105,"Colombo"
"kadawatha",27.5,"perches","5",4,3000,2,"5","Available now",48,"Gampaha"
"katunayake",23,"perches","3",NA,1200,NA,"None","Available now",7,"Gampaha"
"kalubowila",10,"perches","5",4,4000,4,"2","For Urgent Sale",80,"Colombo"
"nugegoda",26,"perches","5",4,3500,NA,"None","Available now",150,"Colombo"
"nugegoda",7,"perches","4",4,3500,NA,"None","Available now",75,"Colombo"
"colombo 5",8,"perches","4",NA,2750,2,"1","Available now",70,"Colombo"
"colombo 5",20,"perches","4",4,4700,2,"None","Available now",350,"Colombo"
"battaramulla",21,"perches","4",3,3000,2,"3","Available now",75,"Colombo"
"nawala",18,"perches","above 5",4,NA,3,"4","Available now",152,"Colombo"
"battaramulla",11,"perches","4",3,2520,2,"2","Available now",26,"Colombo"
"battaramulla",55,"perches","4",5,5000,NA,"2","Available now",185.5,"Colombo"
"mount lavinia",10,"perches","above 5",4,2680,NA,"3","Available now",35,"Colombo"
"pelawatte",24,"perches","above 5",9,12000,3,"6","Available now",180,"Colombo"
"colombo 6",6.5,"perches","4",3,NA,NA,"None","Available now",73,"Colombo"
"kalubowila",7.8,"perches","3",3,2900,2,"2","Available now",46,"Colombo"
"colombo 5",10,"perches","5",4,3000,2,"2","Available now",200,"Colombo"
"pita kotte",25,"perches","2",1,1300,NA,"1","Available now",54,"Colombo"
"mount lavinia",70.2,"perches","4",4,2700,NA,"3","Available now",631.8,"Colombo"
"kandy",4.5,"perches","3",1,1500,1,"1","Available now",13,"Kandy"
"colombo 5",10,"perches","above 5",5,4500,3,"3","Available now",120,"Colombo"
"colombo 5",8,"perches","above 5",4,5000,3,"3","Available now",52.5,"Colombo"
"pita kotte",18,"perches","above 5",6,8500,NA,"3","Available now",240,"Colombo"
"nawala",NA,NA,"5",4,2700,3,"2","Available now",60,"Colombo"
"colombo 8",8.5,"perches","above 5",4,2700,2,"2","Available now",150,"Colombo"
"thalwila",15,"perches","4",3,3900,2,"2","Available now",72,"Puttalam"
"moratuwa",10,"perches","5",5,3900,2,"3","Available now",39,"Colombo"
"malabe",10,"perches","4",3,3200,2,"2","Available now",45,"Colombo"
"boralesgamuwa",10.5,"perches","5",5,5500,3,"4","Available now",65,"Colombo"
"boralesgamuwa",7.5,"perches","3",2,2800,2,"2","Available now",33,"Colombo"
"boralesgamuwa",15,"perches","5",4,3854,2,"3","Available now",48,"Colombo"
"battaramulla",14.5,"perches","4",3,3200,2,"2","Available now",80,"Colombo"
"battaramulla",19.37,"perches","3",3,3200,2,"2","Available now",55,"Colombo"
"nawala",18,"perches","above 5",6,4500,2,"4","Available now",152,"Colombo"
"mattegoda",10.08,"perches","4",4,4000,NA,"None","Available now",29,"Colombo"
"dehiwala",6.3,"perches","3",4,3200,NA,"None","Available now",39,"Colombo"
"hokandara",19,"perches","3",2,NA,NA,"None","Available now",29,"Colombo"
"colombo 5",27,"perches","4",2,3000,NA,"None","Available now",290,"Colombo"
"padukka",182,"perches","4",3,7200,NA,"None","Available now",80,"Colombo"
"malabe",10.5,"perches","3",2,1190,NA,"None","Available now",16.5,"Colombo"
"pannipitiya",17,"perches","4",1,1390,NA,"None","Available now",22,"Colombo"
"moratuwa",14.5,"perches","4",3,2000,NA,"None","Available now",34,"Colombo"
"pita kotte",10.9,"perches","4",2,2500,NA,"None","Available now",35,"Colombo"
"nugegoda",18.75,"perches","4",2,2700,NA,"None","Available now",56.25,"Colombo"
"mirihana",6,"perches","3",2,1500,NA,"None","Available now",30,"Colombo"
"pannipitiya",8.42,"perches","3",2,2000,NA,"None","Available now",25,"Colombo"
"pelawatte",8.8,"perches","4",2,3500,NA,"None","Available now",45,"Colombo"
"wattala",40,"perches","4",3,3000,2,"3","Available now",80,"Gampaha"
"wattala",93,"perches","above 5",3,4000,1,"5","Available now",167,"Gampaha"
"ethul kotte",21,"perches","above 5",4,5000,1,"3","Available now",96,"Colombo"
"battaramulla",35,"perches","4",3,2800,2,"4","Available now",87.5,"Colombo"
"colombo 6",16,"perches","4",2,2500,1,"2","Available now",152,"Colombo"
"malabe",10,"perches","5",4,4500,3,"2","Available now",59,"Colombo"
"thalawathugoda",27.5,"perches","3",4,4500,3,"None","Available now",52,"Colombo"
"malabe",10,"perches","4",2,NA,NA,"None","Available now",16,"Colombo"
"thalawathugoda",16,"perches","5",5,9000,2,"None","Available now",120,"Colombo"
"pelawatte",27,"perches","4",4,NA,NA,"4","Available now",120,"Colombo"
"colombo 8",15.5,"perches","4",4,5825,NA,"None","Available now",165,"Colombo"
"ragama",26,"perches","4",4,2500,NA,"None","Available now",33.8,"Gampaha"
"kottawa",10,"perches","5",2,3000,NA,"None","Available now",19.5,"Colombo"
"kadawatha",10.25,"perches","4",3,2750,NA,"None","Available now",30,"Gampaha"
"colombo 5",8.5,"perches","5",5,4600,NA,"None","Available now",180,"Colombo"
"pita kotte",11.8,"perches","4",3,3200,NA,"None","Available now",58,"Colombo"
"ethul kotte",10,"perches","5",3,3000,NA,"None","Available now",60,"Colombo"
"panadura",145,"perches","3",3,3000,NA,"None","Available now",55,"Kalutara"
"horana",100,"perches","3",2,1800,NA,"None","Available now",30,"Kalutara"
"battaramulla",17.4,"perches","4",4,4000,NA,"None","Available now",120,"Colombo"
"panadura",NA,NA,"above 5",2,3200,2,"5","Available now",22.5,"Kalutara"
"piliyandala",20,"perches","4",2,2630,2,"6","Available now",21,"Colombo"
"colombo 7",26,"perches","above 5",5,NA,NA,"2","Available now",NA,"Colombo"
"dehiwala",63,"perches","above 5",NA,10000,NA,"None","Available now",10,"Colombo"
"moratuwa",9.5,"perches","4",3,3200,2,"2","Available now",31,"Colombo"
"kadawatha",20.02,"perches","3",1,3500,NA,"None","Available now",28,"Gampaha"
"pita kotte",17.5,"perches","5",3,2000,NA,"None","Available now",80,"Colombo"
"maharagama",6.7,"perches","4",2,3000,NA,"None","Available now",33,"Colombo"
"koswatta",9.2,"perches","3",2,2000,NA,"None","Available now",60,"Colombo"
"nugegoda",11,"perches","4",2,NA,NA,"None","Available now",70,"Colombo"
"colombo 7",8.7,"perches","5",5,5500,NA,"None","Available now",200,"Colombo"
"colombo 13",15.53,"perches","above 5",NA,8603,2,"5","Available now",169,"Colombo"
"panadura",26,"perches","4",2,6200,NA,"None","Available now",40,"Kalutara"
"kandy",16,"perches","2",2,NA,NA,"2","Available now",13,"Kandy"
"battaramulla",17,"perches","5",4,3500,2,"6","Available now",80,"Colombo"
"colombo 5",15.06,"perches","5",4,5500,NA,"None","Available now",120,"Colombo"
"battaramulla",21,"perches","4",4,3800,NA,"None","Available now",65,"Colombo"
"boralesgamuwa",10,"perches","4",3,3870,NA,"None","Available now",30,"Colombo"
"ja ela",13.55,"perches","3",3,2000,NA,"None","Available now",26.5,"Gampaha"
"thalawathugoda",13,"perches","4",3,3500,NA,"None","Available now",35,"Colombo"
"colombo 5",8,"perches","4",NA,2750,NA,"1","Available now",70,"Colombo"
"pita kotte",NA,NA,"3",2,NA,NA,"2","Available now",55,"Colombo"
"colombo 3",20.5,"perches","5",3,3000,NA,"6","Available now",348.5,"Colombo"
"battaramulla",27,"perches","5",5,5000,2,"4","Available now",122,"Colombo"
"colombo 5",10,"perches","above 5",5,6000,3,"3","Available now",129,"Colombo"
"kalubowila",11,"perches","above 5",5,5000,3,"1","Available now",46,"Colombo"
"colombo 5",NA,NA,"above 5",3,4500,2,"2","Available now",80,"Colombo"
"mount lavinia",10.41,"perches","above 5",4,3000,2,"5","Available now",31,"Colombo"
"colombo 6",22.56,"perches","4",NA,5500,2,"2","Available now",225,"Colombo"
"nawala",NA,NA,"3",2,1200,5,"None","Available now",32,"Colombo"
"pelawatte",30,"perches","above 5",7,9000,2,"6","Available now",290,"Colombo"
"colombo 2",980,"perches","2",NA,NA,37,"None","Available now",45,"Colombo"
"colombo 2",NA,NA,"above 5",NA,22000,NA,"None","Available now",850,"Colombo"
"battaramulla",24,"perches","5",5,3000,2,"3","Available now",118,"Colombo"
"nugegoda",6,"perches","3",2,3500,3,"1","Available now",27,"Colombo"
"nawala",20,"perches","4",4,5000,2,"4","Available now",140,"Colombo"
"nawala",7.5,"perches","4",3,4000,3,"2","Available now",57,"Colombo"
"colombo 5",10,"perches","4",3,2750,2,"2","Available now",125,"Colombo"
"colombo 5",NA,NA,"3",2,1400,1,"None","Available now",40,"Colombo"
"colombo 7",6.5,"perches","4",3,3500,2,"1","Available now",140,"Colombo"
"colombo 5",6,"perches","4",4,4000,5,"3","Available now",125,"Colombo"
"nawala",15,"perches","4",3,4000,3,"2","Available now",108,"Colombo"
"colombo 5",7.5,"perches","5",3,3000,2,"2","Available now",75,"Colombo"
"rajagiriya",19.2,"perches","5",4,4500,3,"3","Available now",110,"Colombo"
"colombo 5",NA,NA,"3",2,1050,NA,"1","Available now",38,"Colombo"
"kohuwala",18,"perches","5",4,3200,2,"2","Available now",108,"Colombo"
"thalawathugoda",16,"perches","5",5,6000,4,"4","Available now",120,"Colombo"
"ekala",9,"perches","4",1,1500,1,"2","For Urgent Sale",9,"Gampaha"
"kohuwala",17.5,"perches","above 5",9,4500,NA,"2","Available now",70,"Colombo"
"matara",11.64,"perches","3",NA,NA,2,"3","Available now",130,"Matara"
"battaramulla",11,"perches","4",3,2520,2,"2","Available now",26,"Colombo"
"colombo 3",11.3,"perches","4",5,4500,2,"None","Available now",160,"Colombo"
"piliyandala",8.8,"perches","3",2,1400,1,"2","For Urgent Sale",14.5,"Colombo"
"kandy",40,"perches","4",4,5000,NA,"4","Available now",55,"Kandy"
"malabe",12.3,"perches","4",4,3500,3,"2","Under Offer",27.5,"Colombo"
"colombo 8",6,"perches","3",2,2000,2,"2","Available now",68,"Colombo"
"peradeniya",20,"perches","above 5",5,3000,2,"6","Available now",32.5,"Kandy"
"rajagiriya",NA,NA,"3",3,1680,42,"2","Available now",55,"Colombo"
"hokandara",10,"perches","5",3,1980,2,"2","Available now",55,"Colombo"
"battaramulla",19.37,"perches","3",3,3200,2,"2","Available now",55,"Colombo"
"thalawathugoda",17,"perches","5",5,5500,3,"3","Available now",100,"Colombo"
"boralesgamuwa",7.5,"perches","4",3,2900,3,"2","Available now",32,"Colombo"
"angoda",6.5,"perches","4",3,2200,2,"2","Available now",20,"Colombo"
"dankotuwa",24.5,"perches","2",1,1600,1,"None","Available now",5,"Puttalam"
"battaramulla",14,"perches","4",3,3300,2,"2","Available now",55,"Colombo"
"kandy",10,"perches","4",5,4000,2,"3","Available now",45,"Kandy"
"maharagama",20,"perches","5",2,NA,NA,"None","Available now",80,"Colombo"
"kalubowila",7.5,"perches","4",3,NA,2,"2","Available now",48,"Colombo"
"mount lavinia",7.5,"perches","4",4,NA,NA,"None","Available now",55,"Colombo"
"ethul kotte",15.8,"perches","5",4,4900,3,"2","Available now",90,"Colombo"
"pannipitiya",6.6,"perches","3",4,3500,NA,"2","Available now",35,"Colombo"
"thalawathugoda",11,"perches","4",4,3800,3,"4","Available now",44,"Colombo"
"colombo 5",10,"perches","4",4,4000,2,"2","Available now",100,"Colombo"
"battaramulla",13.5,"perches","5",4,3350,NA,"None","Available now",96,"Colombo"
"colombo 3",11.9,"perches","4",4,4000,NA,"None","Available now",170,"Colombo"
"thalawathugoda",21,"perches","3",1,2500,NA,"None","Available now",49,"Colombo"
"homagama",33,"perches","5",3,5000,NA,"None","Available now",27,"Colombo"
"ja ela",10,"perches","5",3,3350,NA,"None","Available now",30,"Gampaha"
"colombo 8",18,"perches","2",2,3700,NA,"None","Available now",115,"Colombo"
"pannipitiya",9.8,"perches","3",1,1635,NA,"None","Available now",22,"Colombo"
"kottawa",16,"perches","5",4,6000,3,"2","Available now",41,"Colombo"
"homagama",10.5,"perches","3",1,1750,1,"2","Available now",9,"Colombo"
"gampaha",12.5,"perches","4",3,1600,1,"2","Available now",17.5,"Gampaha"
"kadawatha",16,"perches","4",1,1600,1,"2","Available now",16.5,"Gampaha"
"negombo",20,"perches","3",2,2800,2,"3","Available now",29,"Gampaha"
"negombo",23.5,"perches","5",5,2500,1,"4","Available now",16,"Gampaha"
"battaramulla",7.5,"perches","3",2,1200,2,"3","Available now",38,"Colombo"
"colombo 2",NA,NA,"4",4,2756,NA,"1","Available now",247,"Colombo"
"battaramulla",22,"perches","3",3,5000,2,"3","Available now",95,"Colombo"
"battaramulla",14.5,"perches","4",3,3200,2,"2","Available now",80,"Colombo"
"dehiwala",9.4,"perches","above 5",6,4500,NA,"None","Available now",50,"Colombo"
"battaramulla",6,"perches","5",5,2500,2,"3","Available now",22.5,"Colombo"
"mattegoda",15,"perches","above 5",3,4000,NA,"None","Available now",37,"Colombo"
"battaramulla",5500,"perches","4",4,5500,2,"3","Available now",85,"Colombo"
"angoda",16.5,"perches","2",2,960,NA,"None","Available now",60,"Colombo"
"rathmalana",15.1,"perches","3",2,1800,NA,"None","Available now",32.5,"Colombo"
"piliyandala",10,"perches","3",1,3000,NA,"None","Available now",21,"Colombo"
"colombo 7",NA,NA,"3",2,2235,NA,"None","Available now",100,"Colombo"
"colombo 4",NA,NA,"3",2,4000,NA,"None","Available now",33,"Colombo"
"pepiliyana",27,"perches","above 5",5,7100,NA,"None","Available now",170,"Colombo"
"udahamulla",9,"perches","above 5",4,2300,NA,"None","Available now",42,"Colombo"
"kottawa",15.19,"perches","4",3,NA,2,"3","Available now",24.8,"Colombo"
